loss,mae,val_loss,val_mae
1.4345672130584717,1.024186372756958,0.22337524592876434,0.38843366503715515
0.19451691210269928,0.35828301310539246,0.11822447925806046,0.27611809968948364
0.13596493005752563,0.30034562945365906,0.09193730354309082,0.24416154623031616
0.11403603106737137,0.27159300446510315,0.0712864100933075,0.21444624662399292
0.09130850434303284,0.24277134239673615,0.05673734098672867,0.1910727173089981
0.07173126935958862,0.21428795158863068,0.04325450584292412,0.16834735870361328
0.058748770505189896,0.19546496868133545,0.033748071640729904,0.14685802161693573
0.04957924038171768,0.17801783978939056,0.02566489204764366,0.12842300534248352
0.0401773601770401,0.16085413098335266,0.02214687690138817,0.11851958185434341
0.03359486535191536,0.14636677503585815,0.015996314585208893,0.10054846107959747
0.029879190027713776,0.13751406967639923,0.013731449842453003,0.09372463822364807
0.025093605741858482,0.12566405534744263,0.013070459477603436,0.09237948060035706
0.024229397997260094,0.12434231489896774,0.010036380961537361,0.07967953383922577
0.01998179964721203,0.11189772188663483,0.009282292798161507,0.0765700489282608
0.018922315910458565,0.10907084494829178,0.011358631774783134,0.08719512075185776
0.016753170639276505,0.10251190513372421,0.008141965605318546,0.07213183492422104
0.016376890242099762,0.10207432508468628,0.011579794809222221,0.0882226899266243
0.0179818794131279,0.10587690770626068,0.008267967030405998,0.07255839556455612
0.014562776312232018,0.09578502923250198,0.008999333716928959,0.07675167918205261
0.014565661549568176,0.09536473453044891,0.0077732400968670845,0.07112596184015274
0.012605743482708931,0.08891905844211578,0.006546678952872753,0.06474395096302032
0.01331250835210085,0.09091140329837799,0.006635365542024374,0.0655803233385086
0.011897402815520763,0.08593723177909851,0.0067244525998830795,0.0658896416425705
0.01113805826753378,0.08363684266805649,0.007122814189642668,0.06805188953876495
0.010398667305707932,0.08063621073961258,0.007265985012054443,0.06851573288440704
0.010788315907120705,0.08220639824867249,0.006430251989513636,0.06443104147911072
0.010505366139113903,0.08088880777359009,0.006416814401745796,0.06408429890871048
0.009969599545001984,0.07897492498159409,0.006281317677348852,0.06358369439840317
0.010208391584455967,0.08025677502155304,0.008090927265584469,0.07294978201389313
0.00989962462335825,0.07879853248596191,0.006836948916316032,0.0658072754740715
0.009280238300561905,0.07654371112585068,0.006912652403116226,0.06687060743570328
0.009495486505329609,0.07696349173784256,0.007056842092424631,0.06762532889842987
0.009241956286132336,0.07646849751472473,0.00631713168695569,0.0642394870519638
0.009901630692183971,0.07835202664136887,0.006672666873782873,0.06616440415382385
0.008707964792847633,0.07383116334676743,0.0073547642678022385,0.06912685185670853
0.009394442662596703,0.0768272653222084,0.006390620954334736,0.06453751027584076
0.008926105685532093,0.07525616139173508,0.006251457147300243,0.06366810202598572
0.008883745409548283,0.07505104690790176,0.006130887195467949,0.06329317390918732
0.00839846022427082,0.07258346676826477,0.0062094079330563545,0.0634821429848671
0.00831921398639679,0.0724409818649292,0.0062421164475381374,0.06373827159404755
0.008136986754834652,0.07157348841428757,0.006128448992967606,0.06268451362848282
0.008415713906288147,0.07253700494766235,0.006575857289135456,0.06500734388828278
0.008505461737513542,0.07294938713312149,0.007066964637488127,0.06773798912763596
0.008419492281973362,0.07234542071819305,0.005953116808086634,0.06262299418449402
0.008207719773054123,0.07220450788736343,0.006575196050107479,0.06488640606403351
0.008932159282267094,0.07427535206079483,0.006251460872590542,0.06379338353872299
0.008392956107854843,0.07283053547143936,0.006859215907752514,0.06716610491275787
0.008048967458307743,0.07081350684165955,0.006004797760397196,0.06235947832465172
0.008120115846395493,0.07164113968610764,0.006259460002183914,0.063578300178051
0.007773573510348797,0.0696755051612854,0.006674231495708227,0.06619162112474442
